id,code,name,user_type_id/id,reconcile,chart_template_id:id
100101,100101,Cash,account.data_account_type_liquidity,False,l10n_my
100201,100201,Bank,account.data_account_type_liquidity,False,l10n_my
101001,101001,Allowance for bad debts,account.data_account_type_current_assets,False,l10n_my
101002,101002,Development costs,account.data_account_type_current_assets,False,l10n_my
101003,101003,Employee cash advances,account.data_account_type_current_assets,False,l10n_my
101004,101004,Inventory,account.data_account_type_current_assets,False,l10n_my
101005,101005,Investments - other,account.data_account_type_current_assets,False,l10n_my
101006,101006,Loans to officers,account.data_account_type_current_assets,False,l10n_my
101007,101007,Loans to others,account.data_account_type_current_assets,False,l10n_my
101008,101008,Loans to shareholders,account.data_account_type_current_assets,False,l10n_my
101009,101009,Prepaid expenses,account.data_account_type_current_assets,False,l10n_my
101010,101010,Retainage,account.data_account_type_current_assets,False,l10n_my
101011,101011,Undeposited funds,account.data_account_type_current_assets,False,l10n_my
101012,101012,Other Current Assets,account.data_account_type_current_assets,False,l10n_my
102001,102001,Accumulated amortisation,account.data_account_type_current_assets,False,l10n_my
102002,102002,Accumulated depreciation,account.data_account_type_current_assets,False,l10n_my
102003,102003,Accumulated depletion,account.data_account_type_current_assets,False,l10n_my
102004,102004,Buildings,account.data_account_type_current_assets,False,l10n_my
102005,102005,Depletable assets,account.data_account_type_current_assets,False,l10n_my
102006,102006,Furniture and fixtures,account.data_account_type_current_assets,False,l10n_my
102007,102007,Leasehold improvements,account.data_account_type_current_assets,False,l10n_my
102008,102008,Machinery and equipment,account.data_account_type_current_assets,False,l10n_my
102009,102009,Vehicles,account.data_account_type_current_assets,False,l10n_my
102010,102010,Other Assets,account.data_account_type_current_assets,False,l10n_my
103001,103001,Intangible Assets,account.data_account_type_current_assets,False,l10n_my
103002,103002,Accumulated amortization of non-current assets,account.data_account_type_current_assets,False,l10n_my
103003,103003,Available-for-sale financial assets,account.data_account_type_current_assets,False,l10n_my
103004,103004,Deferred tax,account.data_account_type_current_assets,False,l10n_my
103005,103005,Goodwill,account.data_account_type_current_assets,False,l10n_my
103006,103006,Investments,account.data_account_type_current_assets,False,l10n_my
103007,103007,Lease Buyout,account.data_account_type_current_assets,False,l10n_my
103008,103008,Licences,account.data_account_type_current_assets,False,l10n_my
103009,103009,Organisational costs,account.data_account_type_current_assets,False,l10n_my
103010,103010,Other intangible assets,account.data_account_type_current_assets,False,l10n_my
103011,103011,Other non-current assets,account.data_account_type_current_assets,False,l10n_my
103012,103012,Prepayments and accrued income,account.data_account_type_current_assets,False,l10n_my
103013,103013,Security Deposits,account.data_account_type_current_assets,False,l10n_my
103014,103014,Other non-current assets,account.data_account_type_current_assets,False,l10n_my
104001,104001,Trade Receivable Account,account.data_account_type_receivable,True,l10n_my
104002,104002,Other Receivable Account,account.data_account_type_receivable,True,l10n_my
105001,105001,Purchase Tax Account 6% TX,account.data_account_type_current_assets,False,l10n_my
105002,105002,Purchase Tax Account 6% IM,account.data_account_type_current_assets,False,l10n_my
105003,105003,Purchase Tax Account 0% IS,account.data_account_type_current_assets,False,l10n_my
105004,105004,Purchase Tax Account 6% BL,account.data_account_type_current_assets,False,l10n_my
105005,105005,Purchase Tax Account 0% NR,account.data_account_type_current_assets,False,l10n_my
105006,105006,Purchase Tax Account 0% ZP,account.data_account_type_current_assets,False,l10n_my
105007,105007,Purchase Tax Account 0% EP,account.data_account_type_current_assets,False,l10n_my
105008,105008,Purchase Tax Account 0% OP,account.data_account_type_current_assets,False,l10n_my
105009,105009,Purchase Tax Account 6% TX-E43,account.data_account_type_current_assets,False,l10n_my
105010,105010,Purchase Tax Account 6% TX-N43,account.data_account_type_current_assets,False,l10n_my
105011,105011,Purchase Tax Account 6% TX-RE,account.data_account_type_current_assets,False,l10n_my
105012,105012,Purchase Tax Account 0% GP,account.data_account_type_current_assets,False,l10n_my
